token,chain,tx_hash,timestamp,from_address,to_address,value,from_entity,to_entity,from_label,to_label,direction,source_channel
BSB,eth,0x3756a6bc12bf606468ea9555ac5bf0e13949f9293c56b87337fb77c770962516,2026-05-04T11:56:23.000Z,0xcc644d2ea4cdefdfde73b659c0f74f742342b677,0xbda2754bba59b2f364db013947c3c5546843e94b,1,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0xba506c27d3b3e98a903d79a715ba7cd1c6c30cd76b36fbc8f4ecf9f98f90c235,2026-05-04T11:56:11.000Z,0x8ed03baeec2709685eec3dcb46ca30cb55c7e4cf,0xaf2c9332398118a024bf56df286e5825dc929bcb,125,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0xa47365ba5e5b028ae7ef4afe27ddfd56a68950e8dc9103d486563f80c98a74c5,2026-05-04T11:54:35.000Z,0x83cc43713e28a9758e112d39b76edd7a7fac4ad1,0x000000000004444c5dc75cb358380d2e3de08a90,24.86325356408305,,Uniswap,,Uniswap v4,TO_DEX_POOL,MORALIS_CHANNEL
BSB,eth,0x8afdcb45b0a7dc6e96b2e3d8653546e1d4b2ca47a36fe4095d95829a0a92647e,2026-05-04T11:52:59.000Z,0xb65677b0f895b16b8a35e9b407d94252978b4341,0x2fbc5155c08ee39607965bd47f18320c95dc4d80,125,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0x365092c331e25c10472e90464d825aa1acca22a4bd185a0e878b30d9a63be89c,2026-05-04T11:51:35.000Z,0x3d3ca3f5d64c9bcbf056e2837544cbd86a351184,0x65256908fad62707b78e978efa29b1b7ada7054b,125,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0x0d8a88bd33a2553b90ffc143111a27f7e01ebc1c04b037bd8b2f127304f559a5,2026-05-04T11:51:23.000Z,0xff335b2f93e9b50f025f1672b5751c87651bfb89,0xdcf9cb5496684c73f9623cfe69a5169c3bf1dbaf,6.96293084230582,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0x3c69ce46d101dc496f0e6c89594e00e39ea9c13f08959a19d8ee6874ea501ed4,2026-05-04T11:49:35.000Z,0x25a2f97c066a716974297399647d27bc0ec2c94a,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,125,,Bitget,,Bitget: Hot Wallet,BETWEEN_LABELED_ENTITIES,MORALIS_CHANNEL
BSB,eth,0x5a4c28849326f71802270d6c633dc8987375e5871f170ca7ee2920ceadc600e0,2026-05-04T11:49:23.000Z,0x4e35f6e2b131b1f987568b4c962d6198d9365614,0x4f3879110135f1f4f85541be3cbbfc6081d7712c,125,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0x1376329627924bb12edadfc0e1d9f95d55cfb5c20e366e3d0919f0d4f7030b0b,2026-05-04T11:46:59.000Z,0x5118fa4f801214223351aa8dfe120de82b56b4d8,0x8e1068373f3ea504961ba65105a3dfaa4cecaf0a,12.710263547203702,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0x15867bf50b7e821a37f0eab547287c9e050d501c7845ddb1cb1c6d1028fd9762,2026-05-04T11:44:59.000Z,0x974b08e3ca65406451cb5867c032eb276fcf90b4,0xff335b2f93e9b50f025f1672b5751c87651bfb89,6.96293084230582,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0x0881bc5a2ba0e57c28584139a5e2a770ac17593fe59c6f2012e2c29f75fca61d,2026-05-04T11:43:23.000Z,0xb094813fdf35da36c2b5250c9598f20d376e9e89,0x25a2f97c066a716974297399647d27bc0ec2c94a,125,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
BSB,eth,0x823d75387d8bada243186d68c6fee45a6dbd2b04da46187c4ea29bb01ed5ac27,2026-05-04T11:41:35.000Z,0x8c80a47ed0ca3e41df78db2c29e8c89f2f04dee2,0xf89d7b9c864f589bbf53a82105107622b35eaa40,1428.4812106935822,,Bybit,,Bybit: Hot Wallet,TO_MORALIS_LABELED_CEX_PROXY,MORALIS_CHANNEL
BSB,eth,0xbac04d0c415f80ea1ddcdf162b9fe467ffaca42d5e72130b8bb0bdc1a77361be,2026-05-04T11:37:47.000Z,0xa89718f32d705ccd04179171d40c0cf7d8d27128,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,125,,Bitget,,Bitget: Hot Wallet,BETWEEN_LABELED_ENTITIES,MORALIS_CHANNEL
BSB,eth,0xb279f9c2fe79f376dfb34453f883eb7473ff268f14893523b41c8b3794ffb366,2026-05-04T11:30:23.000Z,0x4f0eb17ceceb7c08a0f92c4b65fbcec634078c05,0xe9fb2a6665b1cefc35fcae291e08fe23799828f8,125,,,,,BETWEEN_UNKNOWN_WALLETS,MORALIS_CHANNEL
